userid,movieid
23,"I n t 6 4 I n d e x ( [ 1 7 3 2 ,   6 3 3 3 ,   2 4 0 1 ,   1 1 9 9 ,   7 3 6 1 ,   1 2 6 3 ,   3 1 0 8 ,     5 4 1 ,   1 9 9 7 ,   1 2 4 7 ,   2 2 4 8 , 
                         4 0 1 1 ,   2 1 3 7 ,     4 1 2 ,   5 9 8 9 ,     5 0 9 ,   2 0 2 2 ,   1 2 7 6 ,   5 4 6 4 ,   1 3 7 4 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
25,5418 4878 3147 1584 2012 923 2710 5618 2700 2599 1374 6016 1219 4011 45722 3471 903 1127 3977 1101
47,"I n t 6 4 I n d e x ( [   1 1 9 6 ,     8 3 6 8 ,     8 9 7 0 ,     5 9 8 9 ,       9 2 0 ,     2 1 1 5 ,     3 8 9 7 ,   4 9 2 7 2 ,   4 8 7 8 0 , 
                         4 8 5 1 6 ,     1 0 3 6 ,     1 2 0 3 ,     1 1 8 5 ,     2 0 2 8 ,     1 2 4 9 ,     3 0 3 4 ,     4 0 1 4 ,     1 9 6 0 , 
                           1 2 6 7 ,     1 4 0 8 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
50,"I n t 6 4 I n d e x ( [ 2 9 5 9 ,   2 1 7 4 ,   4 8 8 6 ,   1 2 6 5 ,   2 0 1 2 ,   2 9 8 7 ,     4 8 0 ,     1 5 0 ,   3 9 4 8 ,   1 6 8 2 ,   3 1 1 4 , 
                         1 9 2 3 ,   5 3 4 9 ,   2 0 2 8 ,   7 4 3 8 ,   6 5 3 9 ,   4 2 2 6 ,   1 1 9 6 ,   3 1 4 7 ,     1 4 1 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
70,"I n t 6 4 I n d e x ( [   5 0 1 0 ,     8 6 6 5 ,     2 9 4 4 ,     2 6 6 2 ,     1 2 1 3 ,     3 1 0 4 ,     1 3 3 9 ,     4 7 7 6 ,     2 3 5 2 , 
                           1 8 0 5 ,     4 0 2 7 ,     1 3 0 1 ,     2 9 4 7 ,     1 4 7 9 ,     3 6 0 8 ,     3 4 0 8 ,   4 4 1 9 1 ,     3 7 9 8 , 
                           2 4 6 7 ,     3 8 2 7 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
106,"I n t 6 4 I n d e x ( [   7 1 4 3 ,   4 9 5 3 0 ,     1 0 8 9 ,       4 8 0 ,     1 2 2 2 ,   5 3 9 7 2 ,   5 3 3 2 2 ,   4 1 5 6 9 ,     1 0 9 7 , 
                         4 8 3 0 4 ,     5 4 5 9 ,     5 9 0 3 ,   4 6 7 2 3 ,     1 0 7 9 ,     5 9 5 6 ,   4 8 7 7 4 ,   4 4 1 9 9 ,         3 6 , 
                             5 8 7 ,     2 3 5 5 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
149,"I n t 6 4 I n d e x ( [   7 1 4 7 ,     1 9 9 7 ,     6 5 0 2 ,     4 0 1 4 ,     4 2 2 6 ,   4 8 5 1 6 ,     3 4 0 8 ,     8 9 7 0 ,     2 5 0 2 , 
                           8 5 2 8 ,     7 4 3 8 ,     1 1 3 6 ,     1 7 0 4 ,       8 3 7 ,     6 3 7 3 ,     1 9 1 7 ,   4 5 7 2 2 ,   5 6 7 5 7 , 
                           8 9 1 7 ,   5 0 8 7 2 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
155,"I n t 6 4 I n d e x ( [ 3 3 7 9 4 ,     3 5 2 7 ,     6 3 6 5 ,     4 9 6 3 ,       3 7 7 ,     2 7 0 0 ,     1 5 7 3 ,     1 1 9 3 ,     2 1 6 7 , 
                           1 2 7 5 ,     1 0 9 7 ,     1 3 7 2 ,       5 9 2 ,     4 8 8 6 ,     1 3 7 7 ,       6 5 3 ,     2 3 2 9 ,       5 9 0 , 
                           1 2 6 5 ,     1 3 7 5 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
170,"I n t 6 4 I n d e x ( [   4 2 2 6 ,     1 2 0 7 ,     1 6 7 8 ,     5 9 9 5 ,     1 2 1 3 ,     1 0 1 9 ,     2 9 4 9 ,     1 2 6 3 ,     6 7 9 6 , 
                           3 1 0 0 ,     2 0 6 4 ,     1 2 2 4 ,     1 2 0 3 ,     8 6 3 6 ,     3 2 4 6 ,     3 5 0 5 ,   3 3 7 9 4 ,       8 6 6 , 
                           3 2 5 2 ,     8 9 8 3 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
222,"I n t 6 4 I n d e x ( [   4 3 7 0 ,     3 7 9 3 ,     3 7 5 5 ,     4 8 7 4 ,       7 3 3 ,     5 3 7 8 ,     5 9 9 1 ,     5 2 6 6 ,   3 3 6 7 9 , 
                         3 0 7 0 7 ,       3 5 6 ,     5 0 1 0 ,     4 9 7 5 ,   3 3 4 9 3 ,     6 8 6 3 ,     3 9 8 0 ,     4 2 2 6 ,       4 8 0 , 
                           3 8 2 7 ,     4 1 6 1 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
302,"I n t 6 4 I n d e x ( [   5 9 9 5 ,   3 0 7 4 9 ,     3 0 8 3 ,     5 2 2 5 ,     1 2 6 5 ,       5 3 9 ,     3 1 6 0 ,     4 8 4 8 ,       9 2 3 , 
                           1 1 8 6 ,     1 9 6 0 ,     1 1 7 2 ,       7 5 0 ,     1 5 8 0 ,     6 9 4 7 ,     6 3 8 5 ,         5 0 ,       2 6 5 , 
                         4 4 1 9 5 ,   5 4 0 0 1 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
345,"I n t 6 4 I n d e x ( [ 3 9 1 1 ,   1 2 3 5 ,   1 1 8 5 ,   1 2 4 7 ,     1 7 5 ,   3 0 0 6 ,   8 7 8 4 ,     9 2 3 ,   3 9 8 3 ,   3 0 1 9 ,   2 9 6 6 , 
                         1 1 7 3 ,   1 2 9 3 ,     2 7 2 ,   1 1 3 6 ,   6 4 4 0 ,   3 2 5 2 ,   1 2 7 3 ,   4 2 3 9 ,   1 0 7 7 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
441,"I n t 6 4 I n d e x ( [   5 9 8 9 ,   3 1 6 9 6 ,     7 1 4 7 ,     5 2 1 8 ,   4 1 5 6 9 ,   4 4 1 9 5 ,   4 1 5 6 6 ,     1 1 2 0 ,     4 3 6 9 , 
                           5 5 0 2 ,     1 2 4 6 ,     7 3 7 3 ,     5 0 1 5 ,   4 8 3 9 4 ,   4 8 7 7 4 ,   4 4 6 6 5 ,   4 4 1 9 9 ,       2 8 8 , 
                         5 4 0 0 1 ,     6 1 5 7 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
